,Snippet,Sentiment
0,I like you Starbucks but instagram.com/p/_-bE9jR-KV/,positive
1,"RT @fuckitlist49: Triple whiskey straight. Sir, this is Starbucks. Jesus Christ, venti whiskey.",neutral
2,"RT @fuckitlist49: Triple whiskey straight. Sir, this is Starbucks. Jesus Christ, venti whiskey.",neutral
3,"RT @fuckitlist49: Triple whiskey straight. Sir, this is Starbucks. Jesus Christ, venti whiskey.",neutral
4,@MiniLaddd I probably gonna get killed by loads for saying this. I have Never tried a Starbucks! And I really want to try one now!,neutral
5,RT @demis_starbucks: Demis Times Square performance is gonna be so good,positive
6,"I can relate to @MiniLaddd love for Starbucks, like Food & Drink it's a necessity. ^_^",positive
7,"RT @NBCNEWSROOM: * $100 Starbucks GiftCard Giveaway *
Rules to Win:
�Must favorite this tweet
� Add SexPosts on Snapchat! pic.twitter.com/ZQcw4l8504",positive
8,@JessGlynne was amazing on Jools Holland and go damn she is a beautiful woman!... New Year ... Starbucks on me ,positive
9,RT @NishaKatona: How India does Starbucks- this was sweet ginger tea and it was delicious @Mowglistfood pic.twitter.com/xMIQ4Zsku9,positive
10,RT @lilysoutter: It's #Giveaway time! Just #RT & #Follow us for a chance to #Win this Starbucks voucher! Ends Mon 4th Jan #Comp ?? pic.twitter.com/sVQQBOFcwQ,neutral
11,@GripeO_Feed well I'm still awaiting a Starbucks voucher from you guys after months so your service sucks,negative
12,"RT @MEvs_TheWxrld: Everyone in Starbucks looks like they have a Ph.D. In Biology, Psychology, and Life",neutral
13,"RT @TwopTwips: GET your Starbucks name by repeating your name 3 times, and then accepting whatever the barista decides to call you.
(via @jerowney)",neutral
14,RT @5sosandfails: when the starbucks worker is a 5h stan pic.twitter.com/WKTJekFARa,neutral
15,What's the Top Starbucks Holiday Drink Where You Live? adage.com/article/cmo-st�,neutral
16,RT @john00taylor: Having been to dozens of @StarbucksUK the world over I can safely say that Wakefield Calder Park has the slowest service by a country mile,neutral
17,RT @raimajamil1: Establish your dominance at Starbucks by asking a barista's name then mispronouncing it multiple times.,neutral
18,RT @SororitySpeak: Real friends know my Starbucks order by day and bar order by night.,neutral
19,RT @SororitySpeak: Real friends know my Starbucks order by day and bar order by night.,neutral
20,Are you Aware That Starbucks is Selling These Amazing Drink Flavors? sharryli.me/sekhi-are-you-�,neutral
21,RT @lazerdoov: *bursts into starbucks* Me: DO YOU GUYS HAVE A POWER OUTLET Barista: yeah over there Me: oh thank god *plugs in a mechanical bull*,neutral
